iter	Logloss
0	0.689283767
1	0.6855165547
2	0.681668811
3	0.6773222498
4	0.6732983385
5	0.6686151703
6	0.6643874683
7	0.660447561
8	0.6563760947
9	0.6523955923
10	0.6496390347
11	0.6451663187
12	0.6422662248
13	0.6384999376
14	0.635266541
15	0.6316867135
16	0.6280105484
17	0.6241340619
18	0.6202221916
19	0.6164149391
20	0.6124870005
21	0.6094071743
22	0.605629913
23	0.603232316
24	0.6002323825
25	0.5968938628
26	0.5932228635
27	0.590336344
28	0.5870938447
29	0.585971648
30	0.5828598228
31	0.5792208572
32	0.5765573605
33	0.5734310631
34	0.5702506476
35	0.5680685917
36	0.5652859423
37	0.5622915201
38	0.5594860766
39	0.5562004837
40	0.5532489464
41	0.5504178761
42	0.5475429643
43	0.5454682916
44	0.5424359663
45	0.5407606944
46	0.5379281985
47	0.5348590168
48	0.5317804812
49	0.5294237503
50	0.5265882511
51	0.5246815039
52	0.5219169239
53	0.519617321
54	0.5177841999
55	0.5152866079
56	0.5124749084
57	0.5101289949
58	0.507666122
59	0.5052457494
60	0.5023658829
61	0.499479041
62	0.4971738999
63	0.495381807
64	0.4944449053
65	0.4921955827
66	0.4902288402
67	0.4886767806
68	0.4870471048
69	0.4844189836
70	0.4818877118
71	0.4797151932
72	0.4775951372
73	0.4755113345
74	0.4735708085
75	0.4720326534
76	0.4703028456
77	0.468001599
78	0.466096733
79	0.4638724774
80	0.4617611984
81	0.4599142456
82	0.4584120631
83	0.4567686007
84	0.4550037991
85	0.4534078754
86	0.4509084274
87	0.4488311904
88	0.4470268294
89	0.4448718099
90	0.4434171995
91	0.4415255547
92	0.43949317
93	0.4379632103
94	0.4364403771
95	0.4350829391
96	0.4332847637
97	0.431374221
98	0.4298497937
99	0.4279714752
100	0.426354145
101	0.4245734135
102	0.4226591863
103	0.420635703
104	0.4191284449
105	0.4170173894
106	0.415678348
107	0.4143114196
108	0.412699304
109	0.411136065
110	0.4094075429
111	0.4078640385
112	0.4065760591
113	0.4050401847
114	0.4039592646
115	0.4022010413
116	0.4004639744
117	0.3986321878
118	0.3973235401
119	0.3960127647
120	0.3941830749
121	0.3936181106
122	0.3921586057
123	0.3906603428
124	0.3892093387
125	0.3878306947
126	0.3862671121
127	0.3846391177
128	0.3831245207
129	0.3817659076
130	0.3804427199
131	0.379120328
132	0.3779239869
133	0.3769965949
134	0.3758207868
135	0.3749460683
136	0.3736957897
137	0.372649156
138	0.371428291
139	0.3704459394
140	0.3691733813
141	0.3680586471
142	0.3666885288
143	0.3652723707
144	0.3643564789
145	0.3630649181
146	0.3617761483
147	0.3610224619
148	0.3596286032
149	0.3589124338
150	0.3574439919
151	0.3563126693
152	0.3546856827
153	0.3541314486
154	0.3534718128
155	0.3523274977
156	0.3509423217
157	0.3506686353
158	0.3495079268
159	0.3488384857
160	0.3479569301
161	0.3471080768
162	0.3461794818
163	0.3454950809
164	0.3447312236
165	0.3435305132
166	0.3428065886
167	0.3415588249
168	0.3408032762
169	0.33988445
170	0.3387615746
171	0.3378319465
172	0.336924116
173	0.3360416067
174	0.335142781
175	0.3339696941
176	0.332990603
177	0.3319539949
178	0.3309935687
179	0.3300893298
180	0.3291083979
181	0.3280906744
182	0.3271029153
183	0.3260845294
184	0.3255154399
185	0.3246514669
186	0.3235464319
187	0.3224033435
188	0.3214590702
189	0.3209007226
190	0.3201760908
191	0.319733802
192	0.3186907225
193	0.3178080232
194	0.3165113545
195	0.3155984661
196	0.315009564
197	0.3142307059
198	0.3134548961
199	0.3126872773
200	0.3118310621
201	0.3110509888
202	0.3100434846
203	0.3096343956
204	0.3088038579
205	0.3081332471
206	0.3073236806
207	0.3066315551
208	0.3059964403
209	0.3051712082
210	0.3044568678
211	0.3040419394
212	0.303186977
213	0.3025383104
214	0.3016311332
215	0.3006524501
216	0.2998011931
217	0.2989058006
218	0.2984399423
219	0.297738269
220	0.297229655
221	0.2962228422
222	0.2955885997
223	0.2948871292
224	0.2941945804
225	0.2935487342
226	0.292777177
227	0.2917627529
228	0.2911846604
229	0.2905867365
230	0.2900121619
231	0.2893979014
232	0.2889327357
233	0.288254058
234	0.2874412555
235	0.2864733267
236	0.2858217847
237	0.2854256278
238	0.2847828597
239	0.2838422026
240	0.2830325591
241	0.2824247802
242	0.2817751831
243	0.2811478983
244	0.2807533318
245	0.2799552259
246	0.2792236041
247	0.278614855
248	0.2778760822
249	0.2769448951
250	0.2764930977
251	0.2757722454
252	0.2753233403
253	0.2746313393
254	0.2741298515
255	0.2738131193
256	0.2732698038
257	0.2727668138
258	0.2720297425
259	0.2716939581
260	0.2709374281
